tour,start,end,prize_fund
1,2016-02-20,2016-04-30,610385.37
5,2016-04-02,2016-05-20,251206.54
6,2016-04-16,2016-06-03,293237.37
7,2016-04-30,2016-06-30,287800.35
8,2016-05-14,2016-07-18,303316.58
9,2016-05-28,2016-07-28,299936.08
10,2016-06-11,2016-08-19,298432.75
11,2016-07-02,2016-09-09,295914.15
12,2016-07-16,2016-09-23,293718.51
13,2016-07-30,2016-10-07,293690.31
14,2016-08-13,2016-10-27,297910.75
15,2016-08-27,2016-11-11,317002.38
16,2016-09-10,2016-11-25,270519.6
17,2016-09-24,2016-12-09,294004.67
18,2016-10-08,2016-12-23,301480.53
19,2016-10-22,2017-01-06,306219.88
20,2016-11-05,2017-01-20,290680.52
21,2016-11-19,2017-02-03,357559.04
22,2016-12-03,2017-02-17,390682
23,2016-12-17,2017-03-03,428303.09
24,2016-12-31,2017-03-17,517925.88
25,2017-01-14,2017-03-31,516016.54
26,2017-02-28,2017-04-17,528633.2
27,2017-02-11,2017-05-02,524886.41
28,2017-02-25,2017-05-16,540285.07
29,2017-03-11,2017-05-30,536650.55
30,2017-03-25,2017-06-13,538236.13
31,2017-04-08,2017-06-27,569355.92
32,2017-04-22,2017-07-11,652779.79
33,2017-05-06,2017-07-25,587464.61
34,2017-05-20,2017-08-08,770082.39
35,2017-06-03,2017-08-22,670009.46
